Time,Initial Gas Value,Processed Gas Value,State,Warning time period(s)
2025-06-09 14:20:48,0.03468490473864194,9,Safe,1
2025-06-09 14:20:49,0.03468490473864194,9,Safe,2
2025-06-09 14:20:50,0.03468490473864194,9,Safe,3
2025-06-09 14:20:51,0.03370786516853941,9,Safe,4
2025-06-09 14:20:52,0.03273082559843665,8,Safe,5
