Time,Accelerometer_x,Accelerometer_y,Accelerometer_z,Gyroscope_x,Gyroscope_y,Gyroscope_z,Temperature
2025-06-09 15:19:55,0.689530078125,0.06943184814453125,9.938331091308592,2.0763358778625953,-0.9770992366412213,-1.2442748091603053,29.188823529411767
2025-06-09 15:19:55,0.7398083129882812,0.009576806640625,9.943119494628906,1.9923664122137406,-1.251908396946565,-1.2748091603053435,29.141764705882352
2025-06-09 15:19:56,0.6296750366210937,-0.1292868896484375,9.904812268066406,1.816793893129771,-1.0916030534351144,-1.3587786259541985,29.188823529411767
2025-06-09 15:19:56,0.737414111328125,0.076614453125,9.952696301269532,2.213740458015267,-1.0305343511450382,-1.0,29.188823529411767
2025-06-09 15:19:57,0.7541735229492187,0.05985504150390625,9.950302099609374,2.145038167938931,-0.9236641221374046,-1.083969465648855,29.188823529411767
2025-06-09 15:19:57,0.6512228515624999,0.086191259765625,10.081983190917969,2.030534351145038,-1.0381679389312977,-1.1374045801526718,29.141764705882352
2025-06-09 15:20:32,0.6655880615234374,0.023942016601562498,9.964667309570311,2.267175572519084,-1.1603053435114503,-1.1526717557251909,29.23588235294118
2025-06-09 15:20:33,0.7541735229492187,0.05027823486328125,9.93354268798828,2.1908396946564888,-1.1297709923664123,-1.083969465648855,29.23588235294118
2025-06-09 15:20:33,0.7206546997070312,0.031124621582031248,9.892841259765625,1.9694656488549618,-1.0076335877862594,-1.1221374045801527,29.141764705882352
2025-06-09 15:20:34,0.8403647827148437,0.01915361328125,9.923965881347655,1.8244274809160306,-1.16793893129771,-1.2595419847328244,29.23588235294118
2025-06-09 15:20:34,0.7517793212890624,0.02633621826171875,9.91438907470703,1.9923664122137406,-0.9618320610687023,-1.2900763358778626,29.141764705882352
